position,channel,rms,peak,mean,zcr
CENTER,ch0,2005.6,9990,1.99,0.4973
CENTER,ch1,1504.1,7491,1.27,0.4979
CENTER,ch2,1504.51,7479,1.4,0.4982
CENTER,ch3,1504.13,7472,1.71,0.498
CENTER,ch4,1504.56,7528,1.58,0.4972
CENTER,ch5,4.61,21,0.01,0.4886
FRONT,ch0,1234.68,5591,2.02,0.5006
FRONT,ch1,1504.58,7499,1.32,0.4981
FRONT,ch2,1504.51,7479,1.4,0.4982
FRONT,ch3,1504.35,7482,1.77,0.4978
FRONT,ch4,1504.56,7528,1.58,0.4972
FRONT,ch5,4.61,21,0.01,0.4886
RIGHT,ch0,1234.68,5591,2.02,0.5006
RIGHT,ch1,1504.1,7491,1.27,0.4979
RIGHT,ch2,1504.34,7591,1.46,0.4985
RIGHT,ch3,1504.13,7472,1.71,0.498
RIGHT,ch4,1504.3,7500,1.64,0.4974
RIGHT,ch5,4.61,21,0.01,0.4886
BACK,ch0,1234.68,5591,2.02,0.5006
BACK,ch1,1504.17,7526,1.32,0.4976
BACK,ch2,1504.51,7479,1.4,0.4982
BACK,ch3,1504.23,7518,1.77,0.4977
BACK,ch4,1504.56,7528,1.58,0.4972
BACK,ch5,4.61,21,0.01,0.4886
LEFT,ch0,1234.68,5591,2.02,0.5006
LEFT,ch1,1504.1,7491,1.27,0.4979
LEFT,ch2,1504.28,7506,1.46,0.4974
LEFT,ch3,1504.13,7472,1.71,0.498
LEFT,ch4,1504.32,7524,1.64,0.498
LEFT,ch5,4.61,21,0.01,0.4886
