position,pair,pair_label,ch_a,ch_b,raw_lag_samples,raw_lag_samples_frac,raw_time_us,raw_peak_corr,raw_norm_corr,gcc_tau_s,gcc_lag_samples,gcc_time_us,gcc_quality,gcc_azimuth_deg,gcc_confidence,ch_a_rms,ch_a_peak,ch_a_mean,ch_b_rms,ch_b_peak,ch_b_mean
CENTER_1,ch1_ch2,Front-Right (ch1-ch2),ch1,ch2,-2,-2.0,-125.0,52717585034.2,0.9998,-0.0001250,-2.0,-125.0,0.272,180.0,0.383,1815.3,8208,1.16,1815.42,8204,1.24
CENTER_1,ch1_ch3,Front-Back  (ch1-ch3),ch1,ch3,-4,-4.0,-250.0,52696135687.4,0.9996,-0.0002500,-4.0,-250.0,0.491,180.0,0.383,1815.3,8208,1.16,1814.98,8211,0.5
CENTER_1,ch1_ch4,Front-Left  (ch1-ch4),ch1,ch4,-2,-2.0,-125.0,52714114442.9,0.9998,-0.0001250,-2.0,-125.0,0.272,180.0,0.383,1815.3,8208,1.16,1815.31,8223,1.07
CENTER_1,ch2_ch3,Right-Back  (ch2-ch3),ch2,ch3,-2,-2.0,-125.0,52707163699.8,0.9998,-0.0001250,-2.0,-125.0,0.272,180.0,0.383,1815.42,8204,1.24,1814.98,8211,0.5
CENTER_1,ch2_ch4,Right-Left  (ch2-ch4),ch2,ch4,0,0.0,0.0,52725116518.4,0.9999,0.0000000,0.0,0.0,0.274,180.0,0.383,1815.42,8204,1.24,1815.31,8223,1.07
CENTER_1,ch3_ch4,Back-Left   (ch3-ch4),ch3,ch4,2,2.0,125.0,52703625603.8,0.9998,0.0001250,2.0,125.0,0.272,180.0,0.383,1814.98,8211,0.5,1815.31,8223,1.07
CENTER_2,ch1_ch2,Front-Right (ch1-ch2),ch1,ch2,-2,-2.0,-125.0,50796001316.2,0.9999,-0.0001250,-2.0,-125.0,0.272,180.0,0.383,1781.96,8674,-9.52,1781.85,8668,-9.74
CENTER_2,ch1_ch3,Front-Back  (ch1-ch3),ch1,ch3,-4,-4.0,-250.0,50787400135.0,0.9998,-0.0002500,-4.0,-250.0,0.491,180.0,0.383,1781.96,8674,-9.52,1781.65,8672,-9.75
CENTER_2,ch1_ch4,Front-Left  (ch1-ch4),ch1,ch4,-2,-2.0,-125.0,50797198757.4,0.9999,-0.0001250,-2.0,-125.0,0.272,180.0,0.383,1781.96,8674,-9.52,1781.89,8666,-9.4
CENTER_2,ch2_ch3,Right-Back  (ch2-ch3),ch2,ch3,-2,-2.0,-125.0,50785872415.4,0.9999,-0.0001250,-2.0,-125.0,0.272,180.0,0.383,1781.85,8668,-9.74,1781.65,8672,-9.75
CENTER_2,ch2_ch4,Right-Left  (ch2-ch4),ch2,ch4,0,0.0,0.0,50795680192.4,0.9999,0.0000000,0.0,0.0,0.274,180.0,0.383,1781.85,8668,-9.74,1781.89,8666,-9.4
CENTER_2,ch3_ch4,Back-Left   (ch3-ch4),ch3,ch4,2,2.0,125.0,50787121395.2,0.9999,0.0001250,2.0,125.0,0.272,180.0,0.383,1781.65,8672,-9.75,1781.89,8666,-9.4
RIGHT,ch1_ch2,Front-Right (ch1-ch2),ch1,ch2,2,2.0,125.0,51484487797.7,0.9998,0.0001250,2.0,125.0,0.272,270.0,0.383,1793.92,7890,5.72,1794.11,7880,6.23
RIGHT,ch1_ch3,Front-Back  (ch1-ch3),ch1,ch3,0,-0.0,-0.0,51487088697.7,0.9999,0.0000000,0.0,0.0,0.274,270.0,0.383,1793.92,7890,5.72,1793.95,7886,5.88
RIGHT,ch1_ch4,Front-Left  (ch1-ch4),ch1,ch4,-2,-2.0,-125.0,51475385475.4,0.9998,-0.0001250,-2.0,-125.0,0.272,270.0,0.383,1793.92,7890,5.72,1793.74,7890,5.68
RIGHT,ch2_ch3,Right-Back  (ch2-ch3),ch2,ch3,-2,-2.0,-125.0,51485129740.3,0.9998,-0.0001250,-2.0,-125.0,0.272,270.0,0.383,1794.11,7880,6.23,1793.95,7886,5.88
RIGHT,ch2_ch4,Right-Left  (ch2-ch4),ch2,ch4,-4,-4.0,-250.0,51473423379.8,0.9997,-0.0002500,-4.0,-250.0,0.491,270.0,0.383,1794.11,7880,6.23,1793.74,7890,5.68
RIGHT,ch3_ch4,Back-Left   (ch3-ch4),ch3,ch4,-2,-2.0,-125.0,51475941145.6,0.9998,-0.0001250,-2.0,-125.0,0.272,270.0,0.383,1793.95,7886,5.88,1793.74,7890,5.68
BACK,ch1_ch2,Front-Right (ch1-ch2),ch1,ch2,2,2.0,125.0,50988183224.6,0.9998,0.0001250,2.0,125.0,0.272,0.0,0.383,1785.26,7329,-10.82,1785.47,7324,-10.85
BACK,ch1_ch3,Front-Back  (ch1-ch3),ch1,ch3,4,4.0,250.0,50977652114.1,0.9998,0.0002500,4.0,250.0,0.491,0.0,0.383,1785.26,7329,-10.82,1785.15,7328,-10.8
BACK,ch1_ch4,Front-Left  (ch1-ch4),ch1,ch4,2,2.0,125.0,50986433371.9,0.9998,0.0001250,2.0,125.0,0.272,0.0,0.383,1785.26,7329,-10.82,1785.41,7322,-11.07
BACK,ch2_ch3,Right-Back  (ch2-ch3),ch2,ch3,2,2.0,125.0,50990418963.0,0.9999,0.0001250,2.0,125.0,0.272,0.0,0.383,1785.47,7324,-10.85,1785.15,7328,-10.8
BACK,ch2_ch4,Right-Left  (ch2-ch4),ch2,ch4,0,-0.0,-0.0,50999163133.5,0.9999,0.0000000,0.0,0.0,0.274,0.0,0.383,1785.47,7324,-10.85,1785.41,7322,-11.07
BACK,ch3_ch4,Back-Left   (ch3-ch4),ch3,ch4,-2,-2.0,-125.0,50988771030.4,0.9999,-0.0001250,-2.0,-125.0,0.272,0.0,0.383,1785.15,7328,-10.8,1785.41,7322,-11.07
LEFT,ch1_ch2,Front-Right (ch1-ch2),ch1,ch2,-2,-2.0,-125.0,52509594294.3,0.9999,-0.0001250,-2.0,-125.0,0.272,90.0,0.383,1811.82,7186,11.9,1811.7,7188,11.59
LEFT,ch1_ch3,Front-Back  (ch1-ch3),ch1,ch3,0,0.0,0.0,52522042686.6,0.9999,0.0000000,0.0,0.0,0.274,90.0,0.383,1811.82,7186,11.9,1811.99,7220,11.89
LEFT,ch1_ch4,Front-Left  (ch1-ch4),ch1,ch4,2,2.0,125.0,52518197178.6,0.9999,0.0001250,2.0,125.0,0.272,90.0,0.383,1811.82,7186,11.9,1811.94,7191,11.9
LEFT,ch2_ch3,Right-Back  (ch2-ch3),ch2,ch3,2,2.0,125.0,52514649113.1,0.9999,0.0001250,2.0,125.0,0.272,90.0,0.383,1811.7,7188,11.59,1811.99,7220,11.89
LEFT,ch2_ch4,Right-Left  (ch2-ch4),ch2,ch4,4,4.0,250.0,52510821145.4,0.9998,0.0002500,4.0,250.0,0.491,90.0,0.383,1811.7,7188,11.59,1811.94,7191,11.9
LEFT,ch3_ch4,Back-Left   (ch3-ch4),ch3,ch4,2,2.0,125.0,52523344544.8,0.9999,0.0001250,2.0,125.0,0.272,90.0,0.383,1811.99,7220,11.89,1811.94,7191,11.9
